"tokipona","english"
"a a a!","ha ha ha!"
"akesi pi telo moli","venomous snakes, poisonous frogs"
"anpa lawa","neck, throat"
"anpa pi sinpin lawa","chin"
"Antola","Andorra"
"awen pona","patient"
"ijo lon tomo","household things"
"ijo uta walo","teeth"
"ike lukin","ugly"
"ilo lape","sleeping pill"
"ilo lape soweli","animal tranquilizer or anesthetic, e.g. ketamine"
"ilo li lon poki.","The tools are in the container."
"ilo moku","utensil, fork, spoon, knife, etc."
"ilo musi","toy, thing used for entertainment"
"ilo nasa","drugs"
"ilo nasa wawa","energy-giving drug, e.g. amphetamine"
"ilo pi sitelen tawa","TV"
"ilo pi sitelen toki","pen, pencil"
"ilo sona","smart tool or machine, e.g. computer"
"ilo suno","flashlight, lamp"
"ilo toki","communications device, e.g. telephone, online chat"
"ilo unpa","sex toy"
"jan (pi pali) moku","chef, cook"
"jan (pi pali) unpa","sex worker, prostitute"
"jan ike","bad person, jerk, negative person, enemy"
"jan kulupu","member of a group"
"jan lawa","leader, boss, master, chairperson, president, director"
"jan lawa ma","president of country, governor of state, premier of province"
"jan lawa pi jan utala","commander, general"
"jan lawa pi ma tomo","mayor"
"jan lawa pi tomo tawa kon","a pilot"
"jan li seme","personal traits"
"jan lili","child, daughter, son, small person, short person, thin person, young person"
"jan lili # tu wan","3 children"
"jan nasa","strange, foolish, unconventional or crazy person"
"jan nasa utala","fighting fool"
"jan olin","loved one, significant other, partner"
"jan pakala","an injured person, victim, etc."
"jan pali","worker, employee"
"jan pi ike lukin","an ugly person"
"jan pi jan unpa mute","promiscuous person"
"jan pi kama sona","student"
"jan pi ma ante","foreigner"
"jan pi ma sama","fellow citizen of same country or land"
"jan pi ma tomo","a city-dweller"
"jan pi musi sijelo","athlete"
"jan pi pana sona","teacher"
"jan pi pona lukin","an attractive person"
"jan pi pona pilin","good psychotherapist"
"jan pi pona sijelo","good doctor, healer"
"jan pi tomo pali","office worker, etc."
"jan pi tomo sama","housemate, roommate"
"jan pi wawa ala","a person with weakness, a weak person"
"jan poka","neighbor, someone who is beside you"
"jan pona","good person, friend, positive person"
"jan sama","similar person, counterpart, peer, person in same situation, sibling"
"jan sewi","saint, God, Flying Spaghetti Monster"
"jan sona","knowledgeable person, wise person, educated person, academic, specialist"
"jan sona nanpa","mathematician"
