"tokipona","english"
"Akanisan","Afghanistan"
"Alan","Ireland, Irish Gaelic"
"Alensina","Argentina"
"Anku","Korea, Korean"
"Awisi","Haiti, Haitian Creole"
"Ekato","Ecuador"
"Elena","Greece, Greek"
"Epanja","Spain, Spanish"
"Esi","Estonia, Estonian"
"Esuka","Basque Country, Basque"
"Ilakija","Iraq"
"Ilan","Iran, Persian"
"Inli","England, English"
"Intonesija","Indonesia, Indonesian"
"Isale","Israel"
"Isilan","Iceland, Icelandic"
"Italija","Italy, Italian"
"Jamanija","Yemen"
"jan Eliku Kulaputon","Eric Clapton"
"jan Elu","elf"
"jan Epi o a!","Oh Abbie!"
"jan Jon Kalapin","John Calvin"
"jan Kanata","Canadian person"
"jan Kitopokolonpo","Christopher Columbus"
"jan lawa lete","King Frost"
"jan Mesiko","Mexican person"
"jan pi nasin sewi Kolisu","a Christian"
"jan Santa","Santa Claus"
"Kalalinuna","Greenland, Greenlandic"
"Kana","Ghana"
"Kanata","Canada"
"Kanse","France, French"
"Katala","Qatar"
"Katelo","Georgia, Georgian"
"Katemala","Guatemala"
"Kenata","Grenada"
"Kepeka","Quebec"
"Keposi","Cyprus"
"Kilipasi","Kiribati"
"Kinla","Wales, Welsh"
"Konko (pi ma tomo Kinsasa)","Congo, Dem. Rep."
"Konko (pi ma tomo Pasawi)","Congo, P. Rep."
"Kosalika","Costa Rica"
"Kosiwa","Côte d'Ivoire"
"Kupa","Cuba"
"Kusala","Gujarat, Gujarati"
"Kuwasi","Kuweit"
"Lanka","Sri Lanka"
"Lesi","Brittany, Breton"
"Lipija","Libya"
"Lisensan","Liechtenstein"
"Lomani","Romania, Romanian"
"Losi","Russia, Russian"
"Lowasi","Croatia, Croatian"
"Lowenki","Slovakia, Slovak"
"Lowensina","Slovenia, Slovenian"
"Lunpan","Lebanon"
"Lusepu","Luxemburg"
"Luwanta","Rwanda"
"ma Epanja","Spain"
"ma pi jan Keli","Keli's country"
"ma suli Amelika","the Americas"
"ma suli Amelika lete","North America"
"ma suli Amelika seli","South America"
"ma suli Antasika","Antarctica"
"ma suli Apika","Africa"
"ma suli Asija","Asia"
"ma suli Elopa","Europe"
"ma tomo Akajela","Cairo (Egypt)"
"ma tomo Alana","Atlanta (USA)"
"ma tomo Alawa","Ottawa (Canada)"
"ma tomo Alenta","Atlanta"
"ma tomo Alipasi","Halifax (Canada)"
"ma tomo Anpu","Hamburg (Germany)"
"ma tomo Ansetan","Amsterdam (Netherlands)"
"ma tomo Asina","Athens (Greece)"
"ma tomo Ele","Los Angeles (USA)"
"ma tomo Esupo","Espoo (Finland)"
"ma tomo Iwesun","Hilversum (Netherlands)"
"ma tomo Kakawi","Calgary (Canada)"
"ma tomo Kenpisi","Cambridge (USA, GB)"
"ma tomo Kunte","Bangkok (Thailand)"
"ma tomo Lanten","London (England)"
"ma tomo Lesinki","Helsinki (Finland)"
"ma tomo Loma","Rome (Italy)"
"ma tomo Manten","Moncton (Canada)"
"ma tomo Mesiko","Mexico City (Mexico)"
"ma tomo Milano","Milan (Italy)"
"ma tomo Minsen","Munich (Germany)"
"ma tomo Monkela","Montreal (Canada)"
"ma tomo Napoli","Naples (Italy)"
"ma tomo Nujoka","New York City (USA)"
"ma tomo Osaka","Osaka (Japan)"
"ma tomo Paki","Paris (France)"
"ma tomo Pasen","Boston (USA)"
"ma tomo Pelin","Berlin (Germany)"
"ma tomo Peminan","Birmingham (England)"
"ma tomo Pesin","Beijing, Peking (China)"
"ma tomo Pilense","Florence (Italy)"
"ma tomo Polan","Portland (USA)"
"ma tomo Putapesi","Budapest (Hungary)"
"ma tomo Sakata","Jakarta (Indonesia)"
"ma tomo Sanpansiko","San Francisco (USA)"
"ma tomo Sawi","Sackville (Canada)"
"ma tomo Sene","Geneva (Switzerland)"
"ma tomo Sensan","St. John's (Canada)"
"ma tomo Sesija","Shediac (Canada)"
"ma tomo Sije","Dieppe (Canada)"
"ma tomo Solu","Seoul (South Korea)"
"ma tomo Tanpele","Tampere (Finland)"
"ma tomo Telawi","Tel Aviv (Israel)"
"ma tomo Tokijo","Tokyo (Japan)"
"ma tomo Towano","Toronto (Canada)"
"ma tomo Tuku","Turku (Finland)"
"ma tomo Wankuwa","Vancouver (Canada)"
"ma tomo Wenesija","Venice (Italy)"
"Maketonija","Macedonia"
"Malakasi","Madagascar, Malagasy"
"Malasija","Malaysia, Malay"
"Malawi","Malawi"
"Mali","Mali"
"Malipe","Morocco"
"Masija","Hungary, Hungarian"
"Masu","Egypt"
"meli Italija","Italian woman"
"meli Mawija","Maria"
"Mesiko","Mexico"
"Mewika","USA, American"
"Mijama","Myanmar"
"mije Epanja","Spanish man"
"Motowa","Moldova"
"Mulitanija","Mauritania"
"Namipija","Namibia"
"Naselija","Nigeria"
"nasin pona Juju","Unitarian Universalism"
"nasin pona Lasapali","Rastafarianism"
"nasin pona Latapali","Rastafarianism"
"nasin sewi Jawatu","Judaism"
"nasin sewi Kolisu","Christianity"
"nasin sewi ma","earth religion: e.g. Native American beliefs"
"nasin sewi Patapali","Pastafari"
"nasin sewi Puta","Buddhism"
"nasin sewi Silami","Islam"
"nasin tawa pi jan Nuton","Newton's Laws"
"Netelan","Netherlands, Dutch"
"Nijon","Japan, Japanese"
"Nise","Niger"
"Nosiki","Norway, Norwegian Bokmål"
"Nusilan","New Zealand"
"Ontula","Honduras"
"Osalasi","Austria"
"Oselija","Australia"
"Pakisan","Pakistan"
"Palakawi","Paraguay"
"Palani","Bahrein"
"Palata","India"
"Panama","Panama"
"Panla","Bangladesh, Bengali"
"Papeto","Barbados"
"Papuwanijukini","Papua New Guinea"
"Pasila","Brasil"
"Pawama","Bahamas"
"Pelalusi","Belarus, Belarussian"
"Pelu","Peru"
"Pemuta","Bermuda"
"Penesuwela","Venezuela"
"Penin","Benin"
"Pesije","Belgium"
"Pilipina","Philipines, Tagalog"
"Pisi","Fiji"
"Piten","Britain, UK"
"Pokasi","Bulgaria, Bulgarian"
"Posuka","Poland, Polish"
"Potuke","Portugal, Portugese"
"Samalino","San Marino"
"Sameka","Jamaica, Jamaican Patoi"
"Samowa","Samoa"
"Sasali","Algeria"
"Sawa","Java, Javanese"
"Sawasi","Swaziland"
"Seki","Czech (Republic)"
"Seneka","Senegal"
"Setapika","South Africa"
"Sile","Chile"
"Sinita","Trinidad and Tobago"
"Sipusi","Djibouti"
"Sonko","China, Chinese"
"Sopisi","Serbia, Serbian"
"Sukosi","Scotland, Scots"
"Sulija","Syria"
"Sumi","Finland, Finnish"
"Suwasi","Switzerland, Swiss"
"Tansi","Denmark, Danish"
"Tawi","Thailand, Thai"
"toki Alapi","Arabic"
"toki Apikan","Afrikaans"
"toki Awasa","Hausa"
"toki Epelanto","Esperanto"
"toki Ewantalu","Ewantal"
"toki Inli","English"
"toki Inli pona","Basic English"
"toki Insi","Hindi"
"toki Intelinka","Interlingua"
"toki Inu","Inupiaq, Inuktitut, Eskimo"
"toki Ipo","Igbo"
"toki Ito","Ido"
"toki Iwisi","Hebrew"
"toki Jolupa","Yoruba"
"toki Kalike","Scots Gaelic"
"toki Kanse","French language"
"toki Kantun","Cantonese"
"toki Kisawili","Swahili"
"toki Kuwenja","Quenya, Elvish"
"toki Lolan","Loglan"
"toki Loma","Latin"
"toki Losupan","Lojban"
"toki Lunasimi","Quechua"
"toki Malasi","Marathi"
"toki Nosiki sin","Norwegian Nynorsk"
"toki Olapu","Volapük"
"toki Pansapi","Punjabi"
"toki Pasiki","Fyksian"
"toki Pasuto","Pashto"
"toki Pitaha","Pirahã"
"toki Sami","Laplander"
"toki Sankitu","Sanskrit"
"toki Sinan","Klingon"
"toki Tamasiko","Berber, Tamazight"
"toki Tami","Tamil"
"toki tan toki pi jan Pokakijo","Giovanni Boccaccio's Dekameron"
"toki Teluku","Telugu"
"Toko","Togo"
"Tominika","Dominican Republic"
"Tona","Tonga, Tongan"
"Tosi","Germany, German"
"Tuki","Turkey, Turkish"
"Tunisi","Tunisia"
"Tuwalu","Tuvalu"
"Ukanta","Uganda"
"Ukawina","Ukraine, Ukrainian"
"Ulukawi","Uruguay"
"Uman","Oman"
"Utun","Jordan"
"Wensa","Sweden, Swedish"
