"tokipona","english"
"(mi meli.) mi olin e meli.","I am a lesbian."
"(mi mije.) mi olin e mije.","I am gay (male)."
"(ona) li ike","(she/he/it) is bad. / I don't like (her/him/it)."
"(ona) li pona","(he/she/it) is good. / I like (him/her/it) ."
"(ona) li seme?","What is (she/he) like?"
"a a a! ni li ' musi.","Hahaha! That's funny."
"a! akesi li wile moku e mi!","Ahh! The dinosaur wants to eat me!"
"a! sina lukin ala lukin e ijo nasa ni?","Whoa! Do you see that weird thing?"
"a! telo sijelo loje li kama tan nena kute mi!","Ahh! Blood is coming from my ear!"
"akesi li pakala moli e soweli.","The monitor lizard bite deadly the goat."
"akesi li pana e telo moli.","The snake emitted venom (deadly fluid)."
"ala li ' jaki.","Nothing is dirty."
"alasa li pana e soweli, tawa mi.","The hunt brings me meat."
"ale li ' pona.","All is good. Life is beautiful. Everything will be OK."
"ale li jo e tenpo.","There is a time for everything. Everything in its right context."
"ale li pona","All is well, I feel calm, I am at peace"
"ali li ' pona, tawa mi.","Everything's fine to me."
"ali li ' seme?","The Ultimate Question of Life, the Universe and Everything."
"ante la ni li ' ike.","In case of deviations it is unfavourable."
"ante li kama.","Change comes. Times change."
"awen pona mi li pini!","My patience is over!"
"ijo ike li lon monsi mi.","Bad things are behind me."
"ijo li lon oko mi.","Something is in my eye."
"ijo li lukin e mi.","Something is watching me."
"ike la sina moku e ni.","If you feel nauseous, swallow this."
"ike li kama.","Bad comes. / Shit happens."
"ilo li ' pakala.","The tool is broken."
"ilo li sewi sewi e sewi.","The machine raises up the roof."
"ilo ni li ' lete mute , tawa mi.","This axe feels very cold."
"jaki li jaki lili e mi.","The garbage dirtys me something."
"jan # luka tu","7 people"
"jan ala li toki.","Nobody is talking."
"jan alasa pona li ' wawa.","A good hunter is strong."
"jan Ana o pana e moku, tawa mi!","Ana, give me food."
"jan Eta li ' jan unpa.","Heather is a whore."
"jan ike li kama la o seli e lipu ni!","If the enemy comes, burn these papers."
"jan ike li utala e ona mute.","An enemy is attacking them."
"jan ike ni li jo e len nasa.","That bad person has strange clothes."
"jan jelo laso lili li kama, tan sewi.","A little green person came from the sky."
"jan Keli o, sina ' pona lukin.","Kelly, you are pretty."
"jan Ken o, mi olin e sina.","Ken, I love you."
"jan Ken o, pipi li lon len sina.","Ken, a bug is on your shirt."
"jan laso jelo lili li kama, tan sewi.","A little green person came from the sky."
"jan lawa li moku e telo jaki.","The leader drank dirty water."
"jan lawa pi tomo tawa telo li moku.","The captain of the ship is eating."
"jan li ' pona mute.","Man is very good. / The human being is the many good things."
"jan li ' pona.","People are good."
"jan li ' pona.","The person is good."
"jan li ' suli mute. mani li ' suli lili.","People are more important than money."
"jan li alasa e soweli.","Somebody hunt a buffalo."
"jan li lon insa tomo.","Somebody's inside the house."
"jan li lukin e ijo ni.","The guy's looking at this thing."
"jan li lukin e ni.","The guy looks at that one."
"jan li lukin, sama pipi.","People look like ants."
"jan li moku.","Somebody is eating."
"jan li moli ala moli e waso?","Did the man kill the bird?"
"jan li moli e waso.","The man killed the bird."
"jan li pona ilo e ilo.","The guy improve useful the tool."
"jan li telo e ona.","A person washes himself."
"jan li toki, kepeken toki pona, lon tomo toki.","People talk in/using Toki Pona in the chat room."
"jan li wile jo e ma.","People want to own land."
"jan lili en jan suli li toki.","The child and the adult are talking."
"jan lili li ken ala moku e telo nasa.","Children can't drink beer."
"jan lili li lukin e jan suli.","Children watch adults."
"jan lili li sona ala e ike.","Children are innocent."
"jan lili li wile e telo kili.","Children want fruit juice."
"jan lili pi jan Keli li ' musi.","Keli's child is funny."
"jan lili pi jan Ken en jan Lisa li ' suwi.","Ken and Lisa's baby is sweet."
"jan lili sina li ' suwi.","Your baby is cute."
"jan Lisa li ' pona.","Lisa is cool."
"jan Lisa o, toki!","Hello, Lisa."
"jan Lisa taso li kama.","Only Lisa came."
"jan Mawen o, sina wile ala wile moku?","Marvin, are you hungry?"
"jan Mawi li pana e seli tawa ma.","How Maui brought fire to the world."
"jan Mewi li toki, tawa mi.","Mary's talking to me."
"jan Mose o lawa e mi mute, tawa ma pona!","Moses, lead us to the good land."
"jan mute kin li kama!","Many, many, many people are coming!"
"jan mute li kama.","Many people are coming."
"jan mute li kama.","Many people came."
"jan mute lili li kama.","A small amount (of) people are coming."
"jan mute lili li kama.","Some (but not a lot) of people are coming."
"jan nanpa tu tu","4th person"
"jan nasa pi ilo moli li ken pana e ike.","Weapon fools can bring bad things."
"jan Nesan li ' musi.","Nathan is funny."
"jan ni li ' sama mi.","That person is like me."
"jan ni li kon ike.","This person is breathing badly."
"jan ni li pona lukin","That person is pretty."
"jan ni li pona.","This bloke is good."
"jan pali pi ma ali o wan e ona.!","Proletarians of all countries, unite!"
"jan Pawe o, mi wile ala moli.","Forrest, I don't want to die."
"jan Pentan li pana e sona, tawa mi.","Brandon teaches to me."
"jan pi nanpa wan li lon.","The first person is here."
"jan pona mi kin li lon ni.","My good friend is here."
"jan pona mi li lon poka mi.","My friend is beside me."
"jan San o tawa tomo sina!","John, go to your house!"
"jan seme li ' meli sina?","Who is your girlfriend/wife?"
"jan seme li lon? / jan seme li lon ni?","Who's there?"
"jan seme li moku?","Who is eating?"
"jan seme li olin e sina?","Who loves you?"
"jan seme li tawa, lon poka sina?","Who went with you?"
"jan seme pi kulupu ni li suli?","Which people of this group are important?"
"jan Sesi o moku e kili ni!","Jessie, eat this fruit!."
"jan sin li kama ala kama?","Are more people coming?"
"jan sin li kama.","More people are coming."
"jan Sipi Wanta","Stevie Wonder"
"jan sona li ' jan nasa.","A wise man is a fool. / A genius thinks unconventionally."
